Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
"67","'246","Finland","426","'01251","Carrots and turnips","5419","Yield","1981","1981","hg/ha","180088.000000","E"
"198","'705","Slovenia","401","'01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","5419","Yield","1995","1995","hg/ha","154068.000000","E"
"27","'100","Bulgaria","1091","'0232","Eggs from other birds in shell, fresh, n.e.c.","5413","Yield","1991","1991","No/An","35.000000","E"
"15","'058","Belgium-Luxembourg","515","'01341","Apples","5510","Production","1968","1968","tonnes","181000.000000","A"
"106","'380","Italy","587","'01359.01","Persimmons","5510","Production","1981","1981","tonnes","62800.000000","A"
"229","'826","United Kingdom of Great Britain and Northern Ireland","75","'0117","Oats","5419","Yield","2015","2015","hg/ha","60992.000000","E"
"198","'705","Slovenia","898","'22212","Skim milk and whey powder","5510","Production","2016","2016","tonnes","3666.000000","I"
"104","'372","Ireland","1765","'F1765","Meat, Total","5510","Production","2015","2015","tonnes","1026927.000000","E"
"97","'348","Hungary","108","'01199.90","Cereals n.e.c.","5419","Yield","1964","1964","hg/ha","15294.000000","E"
"27","'100","Bulgaria","388","'01234","Tomatoes","5510","Production","1961","1961","tonnes","726456.000000","A"
"11","'040","Austria","116","'01510","Potatoes","5419","Yield","1993","1993","hg/ha","284925.000000","E"
"210","'752","Sweden","292","'01442","Mustard seed","5312","Area harvested","1966","1966","ha","6322.000000","A"
"134","'470","Malta","1720","'F1720","Roots and Tubers, Total","5510","Production","2009","2009","tonnes","10069.000000","E"
"229","'826","United Kingdom of Great Britain and Northern Ireland","103","'01199.02","Mixed grain","5510","Production","1972","1972","tonnes","221949.000000","A"
"134","'470","Malta","1726","'F1726","Pulses, Total","5419","Yield","1985","1985","hg/ha","27692.000000","E"
"97","'348","Hungary","777","'01929.02","True hemp, raw or retted","5510","Production","1971","1971","tonnes","15300.000000","A"
"11","'040","Austria","1723","'F1723","Sugar Crops Primary","5312","Area harvested","1983","1983","ha","42034.000000","E"
"98","'191","Croatia","71","'0116","Rye","5510","Production","1993","1993","tonnes","6273.000000","A"
"67","'246","Finland","1807","'F1807","Sheep and Goat Meat","5510","Production","1994","1994","tonnes","1480.000000","E"
"54","'208","Denmark","367","'01211","Asparagus","5510","Production","1999","1999","tonnes",,"M"
"203","'724","Spain","1080","'21124","Meat of turkeys, fresh or chilled","5321","Producing Animals/Slaughtered","1987","1987","1000 Head","5000.000000","T"
"54","'208","Denmark","103","'01199.02","Mixed grain","5312","Area harvested","2005","2005","ha",,"M"
"15","'058","Belgium-Luxembourg","1780","'F1780","Milk, Total","5510","Production","1971","1971","tonnes","3819145.000000","E"
"79","'276","Germany","1745","'F1745","Cheese (All Kinds)","5510","Production","2007","2007","tonnes","1992640.000000","E"
"203","'724","Spain","882","'02211","Raw milk of cattle","5420","Yield","1977","1977","hg/An","28306.000000","E"
"54","'208","Denmark","44","'0115","Barley","5510","Production","1991","1991","tonnes","5041193.000000","A"
"106","'380","Italy","1089","'21170.01","Meat of pigeons and other birds n.e.c., fresh, chilled or frozen","5321","Producing Animals/Slaughtered","1997","1997","1000 Head",,"M"
"97","'348","Hungary","526","'01343","Apricots","5312","Area harvested","1967","1967","ha",,"M"
"174","'620","Portugal","568","'01229","Cantaloupes and other melons","5419","Yield","1992","1992","hg/ha","66667.000000","E"
"174","'620","Portugal","1163","'21170.02","Game meat, fresh, chilled or frozen","5510","Production","1985","1985","tonnes","4680.000000","A"
"150","'528","Netherlands","1034","'02140","Swine / pigs","5111","Stocks","1988","1988","Head","13934000.000000","A"
"199","'703","Slovakia","116","'01510","Potatoes","5312","Area harvested","2005","2005","ha","19101.000000","A"
"126","'440","Lithuania","103","'01199.02","Mixed grain","5419","Yield","2009","2009","hg/ha","20121.000000","E"
"173","'616","Poland","236","'0141","Soya beans","5312","Area harvested","1993","1993","ha",,"M"
"229","'826","United Kingdom of Great Britain and Northern Ireland","116","'01510","Potatoes","5510","Production","1986","1986","tonnes","6412000.000000","A"
"183","'642","Romania","826","'01970","Unmanufactured tobacco","5419","Yield","1965","1965","hg/ha","9183.000000","E"
"98","'191","Croatia","1034","'02140","Swine / pigs","5111","Stocks","2005","2005","Head","1204960.000000","A"
"11","'040","Austria","75","'0117","Oats","5419","Yield","2005","2005","hg/ha","42502.000000","E"
"84","'300","Greece","560","'01330","Grapes","5419","Yield","2016","2016","hg/ha","91500.000000","E"
"97","'348","Hungary","15","'0111","Wheat","5419","Yield","1998","1998","hg/ha","41390.000000","E"
"51","'200","Czechoslovakia","1720","'F1720","Roots and Tubers, Total","5510","Production","1963","1963","tonnes","6506291.000000","E"
"97","'348","Hungary","388","'01234","Tomatoes","5419","Yield","1984","1984","hg/ha","242728.000000","E"
"256","'442","Luxembourg","1037","'21511.01","Fat of pigs","5320","Producing Animals/Slaughtered","2020","2020","Head","143410.000000","A"
"27","'100","Bulgaria","530","'01344.01","Sour cherries","5510","Production","1999","1999","tonnes","11000.000000","T"
"203","'724","Spain","1017","'21116","Meat of goat, fresh or chilled","5320","Producing Animals/Slaughtered","1981","1981","Head","1351915.000000","A"
"79","'276","Germany","1807","'F1807","Sheep and Goat Meat","5417","Yield/Carcass Weight","1989","1989","hg/An","184.000000","I"
"174","'620","Portugal","157","'01801","Sugar beet","5419","Yield","1971","1971","hg/ha","433865.000000","E"
"50","'196","Cyprus","560","'01330","Grapes","5510","Production","1968","1968","tonnes","168656.000000","A"
"27","'100","Bulgaria","44","'0115","Barley","5419","Yield","1998","1998","hg/ha","24732.000000","E"
"27","'100","Bulgaria","388","'01234","Tomatoes","5419","Yield","1992","1992","hg/ha","251265.000000","E"
"15","'058","Belgium-Luxembourg","919","'02951.01","Raw hides and skins of cattle","5510","Production","1989","1989","tonnes","27800.000000","E"
"174","'620","Portugal","900","'22130.02","Whey, dry","5510","Production","2000","2000","tonnes","840.000000","I"
"106","'380","Italy","181","'01702","Broad beans and horse beans, dry","5312","Area harvested","1993","1993","ha","80906.000000","A"
"84","'300","Greece","534","'01345","Peaches and nectarines","5312","Area harvested","1974","1974","ha","31000.000000","E"
"68","'250","France","1073","'21123","Meat of geese, fresh or chilled","5510","Production","1985","1985","tonnes","8043.000000","A"
"229","'826","United Kingdom of Great Britain and Northern Ireland","420","'01243","Broad beans and horse beans, green","5419","Yield","1966","1966","hg/ha","112965.000000","E"
"167","'203","Czechia","181","'01702","Broad beans and horse beans, dry","5419","Yield","1999","1999","hg/ha","15833.000000","E"
"68","'250","France","459","'01691","Chicory roots","5510","Production","2011","2011","tonnes","100948.000000","A"
"167","'203","Czechia","867","'21111.01","Meat of cattle with the bone, fresh or chilled","5510","Production","2012","2012","tonnes","66060.000000","A"
"229","'826","United Kingdom of Great Britain and Northern Ireland","1097","'21118.01","Horse meat, fresh or chilled","5510","Production","1994","1994","tonnes","2156.000000","E"
"203","'724","Spain","1062","'0231","Hen eggs in shell, fresh","5313","Laying","2000","2000","1000 Head","46443.000000","A"
"256","'442","Luxembourg","97","'01191","Triticale","5419","Yield","2013","2013","hg/ha","56448.000000","E"
