Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
"54","'208","Denmark","515","'01341","Apples","5419","Yield","2013","2013","hg/ha","225807.000000","E"
"54","'208","Denmark","547","'01353.01","Raspberries","5419","Yield","1989","1989","hg/ha","50000.000000","E"
"54","'208","Denmark","547","'01353.01","Raspberries","5312","Area harvested","1995","1995","ha","34.000000","I"
"106","'380","Italy","495","'01324","Tangerines, mandarins, clementines","5419","Yield","1970","1970","hg/ha","129112.000000","T"
"106","'380","Italy","495","'01324","Tangerines, mandarins, clementines","5419","Yield","1996","1996","hg/ha","140148.000000","E"
"173","'616","Poland","552","'01355.01","Blueberries","5312","Area harvested","1995","1995","ha","2550.000000","E"
"210","'752","Sweden","552","'01355.01","Blueberries","5419","Yield","2007","2007","hg/ha","20000.000000","E"
"173","'616","Poland","515","'01341","Apples","5510","Production","1991","1991","tonnes","1145544.000000","A"
"106","'380","Italy","495","'01324","Tangerines, mandarins, clementines","5312","Area harvested","2009","2009","ha","38640.000000","A"
"210","'752","Sweden","515","'01341","Apples","5419","Yield","1998","1998","hg/ha","80000.000000","E"
"210","'752","Sweden","515","'01341","Apples","5312","Area harvested","2004","2004","ha","1380.000000","A"
"173","'616","Poland","549","'01351.02","Gooseberries","5419","Yield","2016","2016","hg/ha","52361.000000","E"
"173","'616","Poland","547","'01353.01","Raspberries","5510","Production","2004","2004","tonnes","56835.000000","A"
"173","'616","Poland","547","'01353.01","Raspberries","5510","Production","1980","1980","tonnes","19507.000000","A"
"173","'616","Poland","547","'01353.01","Raspberries","5510","Production","2016","2016","tonnes","129063.000000","A"
"106","'380","Italy","495","'01324","Tangerines, mandarins, clementines","5419","Yield","1974","1974","hg/ha","140905.000000","T"
"54","'208","Denmark","547","'01353.01","Raspberries","5419","Yield","1990","1990","hg/ha","67073.000000","I"
"106","'380","Italy","495","'01324","Tangerines, mandarins, clementines","5510","Production","1991","1991","tonnes","428200.000000","A"
"173","'616","Poland","552","'01355.01","Blueberries","5419","Yield","1995","1995","hg/ha","44706.000000","E"
"210","'752","Sweden","552","'01355.01","Blueberries","5419","Yield","2015","2015","hg/ha","30000.000000","E"
